iso_code,scenario,overshoot_year_aiaware
PAK,baseline+AI_CONSERVATIVE,
PAK,ndc,
PAK,ndc+AI_CLEAN,
PAK,ndc+AI_CONSERVATIVE,
PER,ambitious,
PER,ambitious+AI_CLEAN,
PER,ambitious+AI_CONSERVATIVE,
PER,baseline,
PER,baseline+AI_CLEAN,
PER,baseline+AI_CONSERVATIVE,
PER,ndc,
PER,ndc+AI_CLEAN,
PER,ndc+AI_CONSERVATIVE,
PHL,ambitious,
PHL,ambitious+AI_CLEAN,
PHL,ambitious+AI_CONSERVATIVE,
PHL,baseline,
PHL,baseline+AI_CLEAN,
PHL,baseline+AI_CONSERVATIVE,
PHL,ndc,
PHL,ndc+AI_CLEAN,
PHL,ndc+AI_CONSERVATIVE,
POL,ambitious,2025.0
POL,ambitious+AI_CLEAN,2025.0
POL,ambitious+AI_CONSERVATIVE,2025.0
POL,baseline,2025.0
POL,baseline+AI_CLEAN,2025.0
POL,baseline+AI_CONSERVATIVE,2025.0
POL,ndc,2025.0
POL,ndc+AI_CLEAN,2025.0
POL,ndc+AI_CONSERVATIVE,2025.0
PRT,ambitious,2025.0
PRT,ambitious+AI_CLEAN,2025.0
PRT,ambitious+AI_CONSERVATIVE,2025.0
PRT,baseline,2025.0
PRT,baseline+AI_CLEAN,2025.0
PRT,baseline+AI_CONSERVATIVE,2025.0
PRT,ndc,2025.0
PRT,ndc+AI_CLEAN,2025.0
PRT,ndc+AI_CONSERVATIVE,2025.0
QAT,ambitious,2025.0
QAT,ambitious+AI_CLEAN,2025.0
QAT,ambitious+AI_CONSERVATIVE,2025.0
QAT,baseline,2025.0
QAT,baseline+AI_CLEAN,2025.0
QAT,baseline+AI_CONSERVATIVE,2025.0
QAT,ndc,2025.0
QAT,ndc+AI_CLEAN,2025.0
QAT,ndc+AI_CONSERVATIVE,2025.0
ROU,ambitious,2025.0
ROU,ambitious+AI_CLEAN,2025.0
ROU,ambitious+AI_CONSERVATIVE,2025.0
ROU,baseline,2025.0
ROU,baseline+AI_CLEAN,2025.0
ROU,baseline+AI_CONSERVATIVE,2025.0
ROU,ndc,2025.0
ROU,ndc+AI_CLEAN,2025.0
ROU,ndc+AI_CONSERVATIVE,2025.0
RUS,ambitious,2025.0
RUS,ambitious+AI_CLEAN,2025.0
RUS,ambitious+AI_CONSERVATIVE,2025.0
RUS,baseline,2025.0
RUS,baseline+AI_CLEAN,2025.0
RUS,baseline+AI_CONSERVATIVE,2025.0
RUS,ndc,2025.0
RUS,ndc+AI_CLEAN,2025.0
RUS,ndc+AI_CONSERVATIVE,2025.0
SAU,ambitious,2025.0
SAU,ambitious+AI_CLEAN,2025.0
SAU,ambitious+AI_CONSERVATIVE,2025.0
SAU,baseline,2025.0
SAU,baseline+AI_CLEAN,2025.0
SAU,baseline+AI_CONSERVATIVE,2025.0
SAU,ndc,2025.0
SAU,ndc+AI_CLEAN,2025.0
SAU,ndc+AI_CONSERVATIVE,2025.0
SGP,ambitious,2025.0
SGP,ambitious+AI_CLEAN,2025.0
SGP,ambitious+AI_CONSERVATIVE,2025.0
SGP,baseline,2025.0
SGP,baseline+AI_CLEAN,2025.0
SGP,baseline+AI_CONSERVATIVE,2025.0
SGP,ndc,2025.0
SGP,ndc+AI_CLEAN,2025.0
SGP,ndc+AI_CONSERVATIVE,2025.0
SVK,ambitious,2025.0
SVK,ambitious+AI_CLEAN,2025.0
