iso_code,country,year,scenario,debt_gt
ARG,Argentina,2044,ambitious,0.9838887226642725
ARG,Argentina,2045,ambitious,1.0282460643590623
ARG,Argentina,2046,ambitious,1.0726034060538523
ARG,Argentina,2047,ambitious,1.1169607477486423
ARG,Argentina,2048,ambitious,1.1613180894434323
ARG,Argentina,2049,ambitious,1.2056754311382227
ARG,Argentina,2050,ambitious,1.2500327728330123
ARG,Argentina,2025,baseline,0.08742962637534463
ARG,Argentina,2026,baseline,0.17485925275068925
ARG,Argentina,2027,baseline,0.26228887912603394
ARG,Argentina,2028,baseline,0.34971850550137856
ARG,Argentina,2029,baseline,0.4371481318767232
ARG,Argentina,2030,baseline,0.5245777582520679
ARG,Argentina,2031,baseline,0.6120073846274123
ARG,Argentina,2032,baseline,0.6994370110027571
ARG,Argentina,2033,baseline,0.7868666373781018
ARG,Argentina,2034,baseline,0.8742962637534463
ARG,Argentina,2035,baseline,0.9617258901287908
ARG,Argentina,2036,baseline,1.0491555165041357
ARG,Argentina,2037,baseline,1.1365851428794802
ARG,Argentina,2038,baseline,1.2240147692548247
ARG,Argentina,2039,baseline,1.3114443956301696
ARG,Argentina,2040,baseline,1.398874022005514
ARG,Argentina,2041,baseline,1.4863036483808587
ARG,Argentina,2042,baseline,1.5737332747562036
ARG,Argentina,2043,baseline,1.661162901131548
ARG,Argentina,2044,baseline,1.7485925275068925
ARG,Argentina,2045,baseline,1.8360221538822374
ARG,Argentina,2046,baseline,1.9234517802575817
ARG,Argentina,2047,baseline,2.010881406632927
ARG,Argentina,2048,baseline,2.0983110330082715
ARG,Argentina,2049,baseline,2.185740659383616
ARG,Argentina,2050,baseline,2.2731702857589604
ARG,Argentina,2025,ndc,0.08742962637534463
ARG,Argentina,2026,ndc,0.16738226075068924
ARG,Argentina,2027,ndc,0.23985790312603394
ARG,Argentina,2028,ndc,0.3048565535013786
ARG,Argentina,2029,ndc,0.36237821187672326
ARG,Argentina,2030,ndc,0.4124228782520678
ARG,Argentina,2031,ndc,0.4549905526274125
ARG,Argentina,2032,ndc,0.49008123500275713
