iso_code,country,year,cum_emissions_gt,cum_fair_share_gt,carbon_debt_gt,debt_t_per_capita,pct_of_fair_share_used,overshoot_year,pledge_year,pledge_type,scope,source_url,pledge_gap_years
ISL,Iceland,2023,0.106128,0.0535947944735927,0.0525332055264072,133.55367759014837,198.01923123763723,1990.0,2020.0,GHG target,"All Sectors including LULUCF: Energy, IPPU, agriculture, LULUCF, waste, aviation","<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/icelandcphaccord_app1.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
ISR,Israel,2023,1.964683,1.2557872591216088,0.7088957408783911,71.97641799963358,156.45030523515945,1990.0,2020.0,"GHG target, Non-GHG target and Actions",Not Specified,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/israelcphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",30.0
ITA,Italy,2023,14.271698,10.078307320609824,4.193390679390177,71.08227951294913,141.60808502847323,1990.0,,,,,
JPN,Japan,2023,41.054567000000006,21.802894300558755,19.25167269944125,154.61123230862097,188.2987021541809,1990.0,2020.0,GHG target,All Sectors including LULUCF: All IPCC sectors ,"<a href=""http://unfccc.int/files/focus/mitigatioNot Applicablepplication/pdf/submission_by_the_government_of_japan.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Latest Submission</a>; <a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/japancphaccord_app1.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Original communication</a>;<a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
KAZ,Kazakhstan,2023,7.498004,2.978122066510166,4.519881933489834,222.32458493521892,251.76953236125536,1990.0,2020.0,GHG target,All Sectors including LULUCF: All IPCC sectors ,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/kazakhstancphaccord_app1.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
KOR,"Korea, Rep.",2023,17.238573000000002,8.363824710201706,8.874748289798296,171.61668585762976,206.10873131969632,1990.0,2020.0,GHG target,Not Specified,"<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/koreacphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",30.0
KWT,Kuwait,2023,2.9943220000000004,0.4959772167626231,2.4983447832373775,514.7596505633919,603.721682932282,1990.0,,,,,
LKA,Sri Lanka,2023,0.44177,3.4450285793042483,-3.0032585793042483,-136.28255113237955,12.823405955291642,,,,,,
LTU,Lithuania,2023,0.524683,0.5545237012827291,-0.029840701282729,-10.391717912835276,94.61867883848764,1990.0,,,,,
LUX,Luxembourg,2023,0.341279,0.0867147702172867,0.2545642297827132,381.9819482657042,393.5650168302763,1990.0,,,,,
