iso_code,country,year,scenario,debt_gt,fs_gt,emissions_mt,ai_emissions_mt_eff,emissions_gt,cum_emissions_gt,cum_fs_gt,scenario_base,debt_gt_base,debt_delta_gt
ARE,United Arab Emirates,2030,ambitious+AI_CONSERVATIVE,1.0571687243118604,0.0,161.88593892365088,0.0,0.16188593892365089,1.0571687243118604,0.0,ambitious,1.0571687243118604,0.0
ARE,United Arab Emirates,2050,ambitious+AI_CONSERVATIVE,4.29488750278488,0.0,161.88593892365066,0.0,0.16188593892365066,4.29488750278488,0.0,ambitious,4.29488750278488,0.0
ARE,United Arab Emirates,2030,baseline+AI_CONSERVATIVE,1.1930654334684012,0.0,198.84423891140023,0.0,0.19884423891140024,1.1930654334684012,0.0,baseline,1.1930654334684012,0.0
ARE,United Arab Emirates,2050,baseline+AI_CONSERVATIVE,5.1699502116964045,0.0,198.84423891140023,0.0,0.19884423891140024,5.1699502116964045,0.0,baseline,5.1699502116964045,0.0
ARE,United Arab Emirates,2030,ndc+AI_CONSERVATIVE,1.0600155534684013,0.0,154.49427891140044,0.0,0.15449427891140044,1.0600155534684013,0.0,ndc,1.0600155534684013,0.0
ARE,United Arab Emirates,2050,ndc+AI_CONSERVATIVE,2.287202811696405,0.0,-22.905561088599757,0.0,-0.022905561088599757,2.287202811696405,0.0,ndc,2.287202811696405,0.0
ARG,Argentina,2030,ambitious+AI_CONSERVATIVE,0.3628859389372123,0.0,44.35734169479005,0.0,0.04435734169479005,0.3628859389372123,0.0,ambitious,0.3628859389372123,0.0
ARG,Argentina,2050,ambitious+AI_CONSERVATIVE,1.2500327728330125,0.0,44.357341694789774,0.0,0.044357341694789776,1.2500327728330125,0.0,ambitious,1.2500327728330125,0.0
ARG,Argentina,2030,baseline+AI_CONSERVATIVE,0.5245777582520679,0.0,87.42962637534468,0.0,0.08742962637534468,0.5245777582520679,0.0,baseline,0.5245777582520679,0.0
ARG,Argentina,2050,baseline+AI_CONSERVATIVE,2.2731702857589604,0.0,87.42962637534424,0.0,0.08742962637534424,2.2731702857589604,0.0,baseline,2.2731702857589604,0.0
ARG,Argentina,2030,ndc+AI_CONSERVATIVE,0.4124228782520678,0.0,50.044666375344605,0.0,0.050044666375344604,0.4124228782520678,0.0,ndc,0.4124228782520678,0.0
ARG,Argentina,2050,ndc+AI_CONSERVATIVE,-0.1568521142410399,0.0,-99.49517362465559,0.0,-0.0994951736246556,-0.1568521142410399,0.0,ndc,-0.1568521142410399,0.0
AUS,Australia,2030,ambitious+AI_CONSERVATIVE,1.633507895413091,0.0,234.97944037240924,0.0,0.23497944037240925,1.633507895413091,0.0,ambitious,1.633507895413091,0.0
AUS,Australia,2050,ambitious+AI_CONSERVATIVE,6.333096702861275,0.0,234.97944037240882,0.0,0.2349794403724088,6.333096702861275,0.0,ambitious,6.333096702861275,0.0
AUS,Australia,2030,baseline+AI_CONSERVATIVE,2.016173580338147,0.0,336.02893005635747,0.0,0.3360289300563575,2.016173580338147,0.0,baseline,2.016173580338147,0.0
AUS,Australia,2050,baseline+AI_CONSERVATIVE,8.736752181465304,0.0,336.0289300563579,0.0,0.3360289300563579,8.736752181465304,0.0,baseline,8.736752181465304,0.0
AUS,Australia,2030,ndc+AI_CONSERVATIVE,1.7796166203381474,0.0,257.1766100563582,0.0,0.25717661005635817,1.7796166203381474,0.0,ndc,1.7796166203381474,0.0
AUS,Australia,2050,ndc+AI_CONSERVATIVE,3.6113513814653047,0.0,-58.23266994364218,0.0,-0.05823266994364218,3.6113513814653047,0.0,ndc,3.6113513814653047,0.0
AUT,Austria,2030,ambitious+AI_CONSERVATIVE,0.1831519026480792,0.0,23.489545713614806,0.0,0.023489545713614807,0.1831519026480792,0.0,ambitious,0.1831519026480792,0.0
AUT,Austria,2050,ambitious+AI_CONSERVATIVE,0.6529428169203739,0.0,23.48954571361461,0.0,0.023489545713614612,0.6529428169203739,0.0,ambitious,0.6529428169203739,0.0
AUT,Austria,2030,baseline+AI_CONSERVATIVE,0.2594253121371579,0.0,43.237552022859724,0.0,0.04323755202285973,0.2594253121371579,0.0,baseline,0.2594253121371579,0.0
AUT,Austria,2050,baseline+AI_CONSERVATIVE,1.124176352594351,0.0,43.23755202285962,0.0,0.043237552022859616,1.124176352594351,0.0,baseline,1.124176352594351,0.0
AUT,Austria,2030,ndc+AI_CONSERVATIVE,0.2215117921371579,0.0,30.599712022859716,0.0,0.030599712022859715,0.2215117921371579,0.0,ndc,0.2215117921371579,0.0
AUT,Austria,2050,ndc+AI_CONSERVATIVE,0.3027167525943507,0.0,-19.951647977140386,0.0,-0.019951647977140385,0.3027167525943507,0.0,ndc,0.3027167525943507,0.0
AZE,Azerbaijan,2030,ambitious+AI_CONSERVATIVE,0.0787131577924641,0.0,10.581658148711703,0.0,0.010581658148711703,0.0787131577924641,0.0,ambitious,0.0787131577924641,0.0
AZE,Azerbaijan,2050,ambitious+AI_CONSERVATIVE,0.2903463207666977,0.0,10.581658148711814,0.0,0.010581658148711814,0.2903463207666977,0.0,ambitious,0.2903463207666977,0.0
AZE,Azerbaijan,2030,baseline+AI_CONSERVATIVE,0.1028099488779864,0.0,17.134991479664407,0.0,0.017134991479664408,0.1028099488779864,0.0,baseline,0.1028099488779864,0.0
AZE,Azerbaijan,2050,baseline+AI_CONSERVATIVE,0.4455097784712746,0.0,17.134991479664517,0.0,0.01713499147966452,0.4455097784712746,0.0,baseline,0.4455097784712746,0.0
