iso_code,year,ef_kg_per_kwh
,2015,0.59511
,2016,0.59149
,2017,0.5720700000000001
,2018,0.57789
,2019,0.5977100000000001
,2020,0.58947
,2021,0.5714199999999999
,2022,0.5542699999999999
,2023,0.57008
,2024,0.57374
,2000,0.62497
,2001,0.62514
,2002,0.63535
,2003,0.6577799999999999
,2004,0.65083
,2005,0.65847
,2006,0.66415
,2007,0.6750499999999999
,2008,0.6632899999999999
,2009,0.66918
,2010,0.6625
,2011,0.68016
,2012,0.6774600000000001
,2013,0.67775
,2014,0.66618
,2015,0.65234
,2016,0.64277
,2017,0.63755
,2018,0.63276
,2019,0.6194500000000001
,2020,0.60745
,2021,0.6015199999999999
,2022,0.59101
,2023,0.58992
,2024,0.5721499999999999
AUS,2000,0.80598
AUS,2001,0.80313
AUS,2002,0.79467
AUS,2003,0.7921699999999999
AUS,2004,0.79283
AUS,2005,0.7918
AUS,2006,0.7905
AUS,2007,0.79115
AUS,2008,0.7915099999999999
AUS,2009,0.78511
AUS,2010,0.77567
AUS,2011,0.74942
AUS,2012,0.74699
AUS,2013,0.7261599999999999
AUS,2014,0.7341799999999999
AUS,2015,0.7297100000000001
AUS,2016,0.71351
AUS,2017,0.71808
AUS,2018,0.6884199999999999
AUS,2019,0.6701
AUS,2020,0.64232
AUS,2021,0.60591
AUS,2022,0.57786
AUS,2023,0.55674
AUS,2024,0.55376
AUT,2000,0.20339
AUT,2001,0.22909000000000002
AUT,2002,0.22613
AUT,2003,0.28239
AUT,2004,0.25933999999999996
AUT,2005,0.254
AUT,2006,0.25301
AUT,2007,0.23269
AUT,2008,0.22041
AUT,2009,0.19588999999999998
AUT,2010,0.22678
AUT,2011,0.23859
AUT,2012,0.18587
AUT,2013,0.17335
AUT,2014,0.15045
AUT,2015,0.17206
AUT,2016,0.15462
AUT,2017,0.16291999999999998
AUT,2018,0.15788
AUT,2019,0.15278
AUT,2020,0.13340000000000002
AUT,2021,0.13516
AUT,2022,0.14106
AUT,2023,0.11161
AUT,2024,0.10274
AZE,2000,0.6177699999999999
AZE,2001,0.64873
AZE,2002,0.62366
AZE,2003,0.61524
AZE,2004,0.61188
AZE,2005,0.6099
AZE,2006,0.63076
AZE,2007,0.63107
AZE,2008,0.6396900000000001
AZE,2009,0.62918
AZE,2010,0.58865
AZE,2011,0.62358
AZE,2012,0.6595599999999999
AZE,2013,0.66925
AZE,2014,0.67722
AZE,2015,0.6638200000000001
AZE,2016,0.65151
AZE,2017,0.65896
AZE,2018,0.66176
AZE,2019,0.6678200000000001
AZE,2020,0.68
AZE,2021,0.67614
AZE,2022,0.6713899999999999
AZE,2023,0.66999
AZE,2024,0.63289
BHS,2000,0.6588200000000001
BHS,2001,0.65537
BHS,2002,0.6560900000000001
BHS,2003,0.66
BHS,2004,0.6565700000000001
BHS,2005,0.6602899999999999
BHS,2006,0.65566
BHS,2007,0.6577799999999999
BHS,2008,0.6577799999999999
BHS,2009,0.65888
BHS,2010,0.6567200000000001
BHS,2011,0.65854
BHS,2012,0.6578999999999999
BHS,2013,0.6595700000000001
BHS,2014,0.65625
BHS,2015,0.66
BHS,2016,0.6598999999999999
BHS,2017,0.6582899999999999
BHS,2018,0.66
BHS,2019,0.6567200000000001
BHS,2020,0.6551699999999999
BHS,2021,0.65686
BHS,2022,0.65366
BHR,2000,0.90476
BHR,2001,0.9049299999999999
BHR,2002,0.90498
BHR,2003,0.90446
BHR,2004,0.90464
BHR,2005,0.90449
BHR,2006,0.89876
BHR,2007,0.90147
BHR,2008,0.90491
BHR,2009,0.9047000000000001
BHR,2010,0.9047000000000001
BHR,2011,0.9046799999999999
BHR,2012,0.9047200000000001
BHR,2013,0.90467
BHR,2014,0.90426
BHR,2015,0.90453
BHR,2016,0.90428
BHR,2017,0.90455
BHR,2018,0.9045700000000001
BHR,2019,0.90426
BHR,2020,0.90413
BHR,2021,0.9035700000000001
BHR,2022,0.90275
BHR,2023,0.9024099999999999
BGD,2000,0.64555
BGD,2001,0.6473
BGD,2002,0.64749
BGD,2003,0.64823
BGD,2004,0.653
BGD,2005,0.65467
BGD,2006,0.65584
BGD,2007,0.67312
BGD,2008,0.6725099999999999
BGD,2009,0.68198
BGD,2010,0.67523
BGD,2011,0.67255
BGD,2012,0.6738
BGD,2013,0.67379
BGD,2014,0.6765399999999999
BGD,2015,0.67583
BGD,2016,0.6726
BGD,2017,0.67216
BGD,2018,0.67303
BGD,2019,0.6752400000000001
BGD,2020,0.67891
BGD,2021,0.67904
BGD,2022,0.67648
BGD,2023,0.68312
BGD,2024,0.69463
BRB,2000,0.65823
BRB,2001,0.6506000000000001
BRB,2002,0.66279
BRB,2003,0.66667
BRB,2004,0.66292
BRB,2005,0.6565700000000001
BRB,2006,0.65686
BRB,2007,0.65714
BRB,2008,0.65714
BRB,2009,0.66355
BRB,2010,0.66019
BRB,2011,0.66346
BRB,2012,0.65487
BRB,2013,0.65347
BRB,2014,0.65049
BRB,2015,0.64423
BRB,2016,0.6381
BRB,2017,0.63462
BRB,2018,0.63462
BRB,2019,0.6320800000000001
BRB,2020,0.61321
BRB,2021,0.60377
BRB,2022,0.60551
BRB,2023,0.6
BLR,2000,0.51801
BLR,2001,0.51655
BLR,2002,0.5155
BLR,2003,0.5140800000000001
BLR,2004,0.51506
BLR,2005,0.5126000000000001
BLR,2006,0.51525
BLR,2007,0.50895
BLR,2008,0.51213
BLR,2009,0.53408
BLR,2010,0.51118
BLR,2011,0.5091600000000001
BLR,2012,0.51022
BLR,2013,0.50587
BLR,2014,0.5072
BLR,2015,0.50689
BLR,2016,0.5061100000000001
BLR,2017,0.49986
BLR,2018,0.50115
BLR,2019,0.49876
BLR,2020,0.4987
BLR,2021,0.43321
BLR,2022,0.43922000000000005
BLR,2023,0.36439
BLR,2024,0.32363
BEL,2000,0.2696
BEL,2001,0.25283
BEL,2002,0.24982
BEL,2003,0.24913
BEL,2004,0.24762
BEL,2005,0.24105000000000001
BEL,2006,0.23158
BEL,2007,0.22428
BEL,2008,0.21828
BEL,2009,0.21691
BEL,2010,0.21284
BEL,2011,0.19290000000000002
BEL,2012,0.20268
BEL,2013,0.18425999999999998
BEL,2014,0.18988999999999998
BEL,2015,0.21555000000000002
BEL,2016,0.15869999999999998
BEL,2017,0.15947999999999998
BEL,2018,0.18694999999999998
BEL,2019,0.15653999999999998
BEL,2020,0.16661
BEL,2021,0.1318
BEL,2022,0.1394
BEL,2023,0.13491999999999998
BEL,2024,0.12040000000000001
BLZ,2000,0.23077
BLZ,2001,0.23077
BLZ,2002,0.21428999999999998
BLZ,2003,0.4375
BLZ,2004,0.35714
BLZ,2005,0.375
BLZ,2006,0.09523999999999999
BLZ,2007,0.13636
BLZ,2008,0.047619999999999996
BLZ,2009,0.125
BLZ,2010,0.14286000000000001
BLZ,2011,0.09090999999999999
BLZ,2012,0.13158
BLZ,2013,0.10811
BLZ,2014,0.13888999999999999
BLZ,2015,0.13888999999999999
BLZ,2016,0.10526
BLZ,2017,0.1
BLZ,2018,0.14634
BLZ,2019,0.17308
BLZ,2020,0.15909
BLZ,2021,0.16666999999999998
BLZ,2022,0.17021
BLZ,2023,0.15556
BEN,2000,0.625
BEN,2001,0.66667
BEN,2002,0.66667
BEN,2003,0.625
BEN,2004,0.625
BEN,2005,0.63636
BEN,2006,0.66667
BEN,2007,0.63636
BEN,2008,0.6521699999999999
BEN,2009,0.69231
